ADC,Add with Carry
AND,Logical And
ASL,Arithmetic Shift Left
BCC,Branch on Carry Clear
BCS,Branch on Carry Set
BEQ,Branch on Equal
BIT,Test Memory Bits against Accumulator
BMI,Branch
BNE,Branch
BPL,Branch
BRA,Branch
BRK,Break
BRL,Branch
BVC,Branch
BVS,Branch
CLC,
CLD,
CLI,
CLV,
CMP,
COP,
CPX,
CPY,
DEC,
DEX,
DEY,
EOR,
INC,
INX,
INY,
JMP,
JSL,
JSR,
LDA,
LDX,
LDY,
LSR,
MVN,
MVP,
NOP,
ORA,
PEA,
PEI,
PER,
PHA,
PHB,
PHD,
PHK,
PHP,
PHX,
PHY,
PLA,
PLB,
PLD,
PLP,
PLX,
PLY,
REP,
ROL,
ROR,
RTI,
RTL,
RTS,
SBC,
SEC,
SED,
SEI,
SEP,
STA,
STP,
STX,
STY,
STZ,
TAX,
TAY,
TCD,
TCS,
TDC,
TRB,
TSB,
TSC,
TSX,
TXA,
TXS,
TXY,
TYA,
TYX,
WAI,
WDM,
XBA,
XCE,
