h,Opcode,Mnemonic,Addr Mode,Len,Time,Flags
c,Arithmetic,ADC,Add with Carry
o,0x69,ADC,IMM,2,2,CZidbVN
o,0x65,ADC,ZP,2,3,CZidbVN
o,0x75,ADC,ZPX,2,4,CZidbVN
o,0x6d,ADC,ABS,3,4,CZidbVN
o,0x7d,ADC,ABSX,3,4,CZidbVN
o,0x79,ADC,ABSY,3,4,CZidbVN
o,0x61,ADC,INDX,2,6,CZidbVN
o,0x71,ADC,INDY,2,5,CZidbVN
o,0x72,ADC,ZPI,2,5,CZidbVN
t,Add a number to the accumulator. 
t,Result is stored in A 
t,
t,This is an 8-bit add. Use the Carry (C) or Overflow (V) flags to determine
t,whether the result was too large for an 8 bit number. 
t,
t,"If C is set before operation, then 1 will be added to the result."
t, 
t,C is set when result is more than 255 ($FF)
t,Z is set when result is zero
t,V is set when signed result crosses -128/+127
t,N is set when result is negative (bit 7=1)

c,Arithmetic,SBC,Subtract With Carry
o,0xe9,SBC,IMM,2,2,CZidbVN
o,0xe5,SBC,ZP,2,3,CZidbVN
o,0xf5,SBC,ZPX,2,4,CZidbVN
o,0xed,SBC,ABS,3,4,CZidbVN
o,0xfd,SBC,ABSX,3,4,CZidbVN
o,0xf9,SBC,ABSY,3,4,CZidbVN
o,0xe1,SBC,INDX,2,6,CZidbVN
o,0xf1,SBC,INDY,2,5,CZidbVN
o,0xf2,SBC,ZPI,2,5,CZidbVN
t,"Subtract the operand from A"
t,"Result is in A"
t,"If C=0 will subtract 1 more."
t,
t,This is an 8-bit subtract. Use the Carry (C) or Overflow (V) flags to 
t,determine whether a borrow took place. 
t,
t,"If C is cleared before operation, then 1 will be subtracted from result."
t, 
t,C is clear when result is less than 0.
t,Z is set when result is zero
t,V is set when signed result crosses -128/+127
t,N is set when result is negative (bit 7=1)

c,Boolean,AND,Logical And
o,0x29,AND,IMM,2,2,cZidbvN
o,0x25,AND,ZP,2,3,cZidbvN
o,0x35,AND,ZPX,2,4,cZidbvN
o,0x2d,AND,ABS,3,4,cZidbvN
o,0x3d,AND,ABSX,3,4,cZidbvN
o,0x39,AND,ABSY,3,4,cZidbvN
o,0x21,AND,INDX,2,6,cZidbvN
o,0x31,AND,INDY,2,5,cZidbvN
o,0x32,AND,ZPI,2,5,cZidbvN
t,Bitwise AND the provided value with the accumulator.
t,"  - Sets N (Negative) flag if the bit 7 of the result is 1, and otherewise clears it"
t,"  - Sets Z (Zero) is the result is zero, and otherwise clears it"

c,Boolean,OR,Logical OR
o,0x09,ORA,IMM,2,2,cZidbvN
o,0x05,ORA,ZP,2,3,cZidbvN
o,0x15,ORA,ZPX,2,4,cZidbvN
o,0x0d,ORA,ABS,3,4,cZidbvN
o,0x1d,ORA,ABSX,3,4,cZidbvN
o,0x19,ORA,ABSY,3,4,cZidbvN
o,0x01,ORA,INDX,2,6,cZidbvN
o,0x11,ORA,INDY,2,5,cZidbvN
o,0x12,ORA,ZPI,2,5,cZidbvN
t,Perform a logical OR of the given value in A 
t,(the accumulator), storing the result in A.
t,
t,See [EOR](#eor) for the exclusive-OR version.
t,  - Sets N (Negative) flag if the two's compliment value is negative
t,  - Sets Z (Zero) flag is the value is zero

c,Boolean,EOR,Exclusive OR
